region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
ARMM,Maguindanao,Kabuntalan,0.0,5th,16794.0,37108.0
ARMM,Tawi-Tawi,Sapa-Sapa,0.0,3rd,28781.0,23561.0
REGION IX,Zamboanga Sibugay,Ipil,0.0,1st,64939.0,24160.0
NIR,Negros Oriental,Sibulan,0.0,2nd,51519.0,16300.0
ARMM,Sulu,Jolo,0.0,1st,118307.0,12640.0
REGION IV-B,Romblon,San Andres,0.0,5th,15028.0,11200.0
REGION XII,Sarangani,Maitum,0.0,2nd,41675.0,29066.0
REGION X,Lanao del Norte,Munai,0.0,4th,27600.0,19750.0
REGION IV-A,Laguna,Mabitac,0.0,5th,18618.0,8076.0
REGION VI,Iloilo,San Rafael,0.0,5th,14655.0,6705.0
REGION VII,Bohol,Dimiao,0.0,4th,15166.0,13575.0
REGION VIII,Samar,Pinabacdao,0.0,4th,16208.0,18306.0
REGION VI,Capiz,President Roxas,0.0,4th,28561.0,7788.0
REGION XIII,Surigao del Sur,Bislig City,1.0,3rd Class ,"",33180.0
REGION V,Camarines Norte,Vinzons,0.0,3rd,41915.0,14143.0
REGION IX,Zamboanga Sibugay,Naga,0.0,3rd,37814.0,24630.0
REGION IX,Zamboanga del Sur,Sominot,0.0,5th,16652.0,11152.0
REGION VI,Capiz,Sapi-An,0.0,4th,24779.0,10524.0
REGION III,Aurora,Dinalungan,0.0,4th,10988.0,31685.0
REGION VI,Iloilo,Iloilo City,1.0,1st Class-Special,"",7834.0
NIR,Negros Oriental,Amlan,0.0,4th,22206.0,11185.0
ARMM,Lanao del Sur,Balabagan,0.0,4th,25139.0,23000.0
NIR,Negros Occidental,Ilog,0.0,2nd,54423.0,28170.0
REGION X,Misamis Oriental,Lagonglong,0.0,5th,19303.0,8378.0
REGION X,Bukidnon,Cabanglasan,0.0,3rd,32427.0,24330.0
REGION III,Pampanga,Guagua,0.0,1st,111199.0,4867.0
REGION IV-A,Laguna,Rizal,0.0,5th,15518.0,2790.0
REGION VII,Cebu,Carmen,0.0,3rd,44648.0,8478.0
REGION X,Bukidnon,Impasug-Ong,0.0,1st,43587.0,105117.0
REGION XIII,Surigao del Norte,Sison,0.0,5th,11377.0,5470.0
REGION III,Bulacan,San Rafael,0.0,1st,85921.0,15243.0
REGION V,Camarines Norte,Paracale,0.0,3rd,53243.0,19790.0
REGION II,Cagayan,Ballesteros,0.0,4th,32215.0,12000.0
REGION IV-A,Cavite,General Emilio Aguinaldo,0.0,5th,17507.0,940.0
CAR,Abra,Tineg,0.0,2nd,4668.0,74480.0
REGION X,Bukidnon,Malaybalay City,1.0,1st Class-Special,"",96919.0
REGION VIII,Samar,Villareal,0.0,4th,26221.0,9854.0
REGION II,Quirino,Diffun,0.0,2nd,48501.0,32010.0
REGION I,Ilocos Norte,Dingras,0.0,2nd,37021.0,9600.0
REGION VIII,Southern Leyte,Sogod,0.0,2nd,41411.0,19270.0
REGION X,Misamis Oriental,Manticao,0.0,4th,26786.0,12301.0
REGION II,Cagayan,Enrile,0.0,3rd,32553.0,18450.0
REGION III,Bulacan,Plaridel,0.0,1st,101441.0,3244.0
REGION VII,Bohol,Garcia Hernandez,0.0,4th,23038.0,12750.0
REGION II,Cagayan,Santa Praxedes,0.0,5th,3646.0,10997.0
REGION IV-A,Quezon,Atimonan,0.0,1st,61587.0,23966.0
REGION IV-A,Laguna,Pila,0.0,3rd,46534.0,3120.0
REGION X,Bukidnon,San Fernando,0.0,1st,50207.0,70506.0
NIR,Negros Oriental,Dumaguete City,1.0,3rd Class ,"",3362.0
REGION II,Cagayan,Santa Ana,0.0,2nd,30458.0,44130.0
REGION IV-B,Oriental Mindoro,Bulalacao,0.0,3rd,33754.0,32186.0
CAR,Abra,Bangued,0.0,1st,43936.0,10570.0
REGION II,Nueva Vizcaya,Bambang,0.0,1st,47657.0,34500.0
REGION II,Isabela,Santiago City,1.0,1st Class-Special,"",25550.0
REGION V,Albay,Malinao,0.0,3rd,42770.0,10750.0
REGION III,Aurora,Baler,0.0,3rd,36010.0,9255.0
CAR,Ifugao,Lagawe,0.0,4th,18077.0,20891.0
REGION IV-A,Rizal,Taytay,0.0,1st,288956.0,3880.0
CAR,Benguet,Itogon,0.0,1st,55960.0,44973.0
REGION VIII,Northern Samar,Mondragon,0.0,3rd,35318.0,28890.0
REGION V,Albay,Tabaco City,1.0,4th Class ,"",11714.0
REGION VIII,Biliran,Almeria,0.0,5th,16495.0,5746.0
REGION III,Pampanga,Porac,0.0,1st,111441.0,31400.0
REGION VIII,Samar,Matuguinao,0.0,5th,6746.0,17251.0
ARMM,Sulu,Lugus,0.0,5th,19839.0,13304.0
REGION XI,Davao Oriental,Governor Generoso,0.0,2nd,50372.0,36575.0
REGION IX,Zamboanga del Norte,Manukan,0.0,3rd,35589.0,24635.0
REGION VIII,Leyte,Merida,0.0,5th,27224.0,9521.0
CAR,Apayao,Flora,0.0,3rd,16743.0,32440.0
CAR,Abra,Tubo,0.0,4th,5719.0,40987.0
REGION X,Misamis Occidental,Bonifacio,0.0,4th,30904.0,15502.0
REGION XI,Davao del Norte,Asuncion,0.0,1st,55844.0,29739.0
REGION VII,Cebu,San Francisco,0.0,3rd,47357.0,10693.0
REGION VIII,Leyte,Tabango,0.0,4th,31932.0,9662.0
REGION IV-A,Quezon,Unisan,0.0,4th,25186.0,12415.0
REGION VIII,Samar,Paranas,0.0,2nd,29327.0,55612.0
REGION VII,Bohol,Jagna,0.0,3rd,32566.0,16849.0
REGION VI,Iloilo,Guimbal,0.0,4th,32325.0,4461.0
REGION XI,Compostela Valley,Maragusan,0.0,1st,55503.0,39427.0
ARMM,Sulu,Maimbung,0.0,5th,28445.0,7750.0
REGION VII,Cebu,Badian,0.0,3rd,37699.0,11007.0
REGION IV-A,Cavite,Cavite City,1.0,4th Class ,"",1089.0
ARMM,Lanao del Sur,Balindong,0.0,4th,26007.0,45394.0
NIR,Negros Occidental,Moises Padilla,0.0,3rd,39257.0,14410.0
REGION VIII,Leyte,Matalom,0.0,3rd,31097.0,13200.0
REGION X,Bukidnon,Dangcagan,0.0,3rd,22448.0,42269.0
REGION VII,Cebu,Liloan,0.0,1st,100500.0,4592.0
REGION VII,Bohol,Bien Unido,0.0,4th,25796.0,2739.0
REGION IV-A,Cavite,Amadeo,0.0,4th,33457.0,3692.0
REGION XIII,Agusan del Sur,Santa Josefa,0.0,3rd,25156.0,34180.0
REGION X,Lanao del Norte,Magsaysay,0.0,5th,16442.0,15183.0
REGION IV-A,Batangas,Malvar,0.0,2nd,45952.0,3300.0
REGION IV-A,Cavite,Bacoor,1.0,- ,"",4617.0
REGION VI,Iloilo,Balasan,0.0,4th,29724.0,5427.0
REGION IV-B,Romblon,Santa Maria,0.0,5th,7683.0,3620.0
REGION II,Nueva Vizcaya,Bayombong,0.0,1st,57416.0,13600.0
REGION IV-B,Palawan,Agutaya,0.0,5th,11906.0,3731.0
REGION XIII,Surigao del Norte,Claver,0.0,2nd,23702.0,32260.0
REGION III,Zambales,Palauig,0.0,3rd,33286.0,31000.0
REGION I,Ilocos Sur,Sugpon,0.0,5th,3820.0,5711.0
REGION VIII,Southern Leyte,Libagon,0.0,5th,14352.0,9862.0
REGION VIII,Northern Samar,Catubig,0.0,3rd,31723.0,21499.0
REGION V,Albay,Oas,0.0,1st,64785.0,26361.0
